total page fault: 31885
PF address            count
----------------------------
13f667000                16
13f63c000                16
13f7ab000                16
13f946000                16
13f94f000                16
13f942000                16
13f943000                16
13f944000                16
13f94b000                16
13f939000                16
13f937000                16
13f938000                16
13f837000                16
13f835000                16
13f82f000                16
13f83c000                16
13f83b000                16
13f83a000                16
13f839000                16
13f936000                16
13f945000                16
1129be000                15
1129f7000                15
106df0000                15
1129a4000                15
11291c000                15
1128fb000                15
1060c9000                15
1128fa000                15
11290a000                15
112995000                15
1129c1000                15
1129a0000                15
1128eb000                15
1128e6000                15
112902000                15
112903000                15
112911000                15
112914000                15
1128ee000                15
1128fe000                15
1128fc000                15
1128fd000                15
112928000                15
112912000                15
112905000                15
1129a1000                15
11293c000                15
11290b000                15
112985000                15
11294b000                15
112936000                15
21131000                 15
2112a000                 15
2102c000                 15
2181a000                 15
21819000                 15
21184000                 15
210f8000                 15
210f7000                 15
21028000                 15
210fb000                 15
21288000                 15
210f6000                 15
21187000                 15
210fc000                 15
21036000                 15
21035000                 15
10bdea000                15
10af38000                15
107077000                15
10ac0d000                15
10a959000                15
10a95b000                15
10bded000                15
10abc2000                15
10acdb000                15
10acd8000                15
10ac13000                15
13949d000                15
218ce000                 15
21148000                 15
21334000                 15
212a0000                 15
2139c000                 15
212d6000                 15
212c3000                 15
21331000                 15
21335000                 15
2114b000                 15
212e2000                 15
21535000                 15
2173d000                 15
216ee000                 15
215a9000                 15
21196000                 15
21743000                 15
21523000                 15
21519000                 15
2152a000                 15
215a4000                 15
215a3000                 15
21546000                 15
2151e000                 15
21514000                 15
2131f000                 15
212bd000                 15
21311000                 15
2130e000                 15
212f4000                 15
212eb000                 15
212f0000                 15
212f1000                 15
212ed000                 15
212ee000                 15
21516000                 15
21524000                 15
2151a000                 15
2152c000                 15
21527000                 15
21526000                 15
21745000                 15
21746000                 15
21747000                 15
2155d000                 15
2151f000                 15
21558000                 15
21522000                 15
2156c000                 15
2156d000                 15
21337000                 15
21336000                 15
211ac000                 15
211ab000                 15
21078000                 15
2102a000                 15
2115d000                 15
2115c000                 15
21159000                 15
2185f000                 15
21868000                 15
216be000                 15
216bb000                 15
21060000                 15
2105e000                 15
2105f000                 15
2186c000                 15
2186d000                 15
2181d000                 15
21744000                 15
21742000                 15
21740000                 15
21525000                 15
21515000                 15
212ef000                 15
212ec000                 15
2131d000                 15
2152b000                 15
2174f000                 15
10af37000                15
10acd9000                15
10acda000                15
10ac66000                15
10af39000                15
21391000                 15
215b4000                 15
215b1000                 15
21109000                 15
2137a000                 15
21377000                 15
21392000                 15
21390000                 15
21518000                 15
2138e000                 15
2151b000                 15
2129b000                 15
2129c000                 15
2133e000                 15
212b6000                 15
212b7000                 15
21842000                 15
2199d000                 15
211b9000                 15
211b8000                 15
21114000                 15
21113000                 15
21138000                 15
21137000                 15
21136000                 15
21378000                 15
21594000                 15
2155b000                 15
212a1000                 15
212b2000                 15
2133a000                 15
109306000                15
109305000                15
109304000                15
106fb3000                15
210ed000                 15
210ec000                 15
106a47000                15
2133c000                 15
13f864000                15
13f94c000                15
13f865000                15
13f866000                15
2129f000                 15
21338000                 15
13e2bc000                15
13e33b000                15
13e2a5000                15
13e2d2000                15
13fa6b000                15
13f64c000                15
13f6ea000                15
13f70f000                15
13fa0e000                15
13f7b5000                15
215b5000                 14
21857000                 14
107079000                14
1061cb000                14
211b6000                 14
13e2a3000                14
21375000                 14
2137f000                 14
2155a000                 14
213a0000                 14
2133d000                 14
21539000                 14
106e9c000                14
2135e000                 14
21171000                 14
139462000                14
2128d000                 14
2138f000                 14
2142f000                 14
2129e000                 14
2128e000                 14
2129a000                 14
212e4000                 14
215b6000                 14
21295000                 14
21538000                 14
21528000                 14
21555000                 14
21521000                 14
21517000                 14
2153f000                 14
21556000                 14
21547000                 14
21173000                 14
21174000                 14
21557000                 14
2139e000                 14
21559000                 14
21511000                 14
2139f000                 14
2139d000                 14
21c00000                 14
21c01000                 14
21a7f000                 14
21a80000                 14
210ef000                 14
2118d000                 14
2118c000                 14
2117f000                 14
21e01000                 14
2106c000                 14
2106d000                 14
21120000                 14
21123000                 14
21a8e000                 14
21122000                 14
21180000                 14
2117e000                 14
2118e000                 14
21111000                 14
211d4000                 14
21032000                 14
2105c000                 14
21062000                 14
21a7c000                 14
21a7d000                 14
21070000                 14
2106f000                 14
21298000                 14
21077000                 14
21299000                 14
215bb000                 14
215ba000                 14
215b9000                 14
21071000                 14
2117d000                 14
2117c000                 14
215b0000                 14
215ad000                 14
2117b000                 14
21124000                 14
2106b000                 14
2116f000                 14
21170000                 14
21226000                 14
2105b000                 14
2111b000                 14
21142000                 14
2127b000                 14
21133000                 14
21188000                 14
21177000                 14
2111f000                 14
21564000                 14
21118000                 14
21119000                 14
2111d000                 14
2112e000                 14
2112d000                 14
2112b000                 14
21127000                 14
21128000                 14
21141000                 14
2112c000                 14
21571000                 14
21125000                 14
213b1000                 14
2113d000                 14
213af000                 14
21168000                 14
2116d000                 14
2110a000                 14
2118a000                 14
210ee000                 14
21e00000                 14
2117a000                 14
21607000                 14
21105000                 14
21104000                 14
215a7000                 14
215ac000                 14
2110e000                 14
21179000                 14
21182000                 14
21031000                 14
2191e000                 14
21121000                 14
2116b000                 14
21194000                 14
21a89000                 14
21a88000                 14
2116e000                 14
21132000                 14
21076000                 14
2103c000                 14
2102d000                 14
21001000                 14
21027000                 14
2111a000                 14
21a8d000                 14
21372000                 14
2137b000                 14
213a9000                 14
2135b000                 14
21371000                 14
21178000                 14
21567000                 14
215b8000                 14
21175000                 14
21034000                 14
106e85000                14
139484000                14
108edb000                14
10cd12000                14
107862000                14
10cd0c000                14
108ee2000                14
10cd0f000                14
108183000                14
1079d0000                14
106a7d000                14
22424000                 14
21359000                 14
2137c000                 14
21357000                 14
214ae000                 14
214bb000                 14
214b6000                 14
214b8000                 14
214b3000                 14
213a7000                 14
213aa000                 14
106ba5000                14
112475000                14
111f8f000                14
112478000                14
10cd0d000                14
10869d000                14
10dd5b000                14
1079d1000                14
210f9000                 14
21350000                 14
21147000                 14
21a8a000                 14
213ae000                 14
21708000                 14
106b9d000                14
211db000                 14
211da000                 14
106aa8000                14
106b2d000                14
106c8e000                14
106f91000                14
106d01000                14
106443000                14
106444000                14
106f8e000                14
106445000                14
1394de000                14
106c33000                14
210fd000                 14
13954f000                14
213b3000                 14
10ac8b000                14
109f58000                14
10aceb000                14
10ac89000                14
10ac88000                14
10ac8a000                14
109f5c000                14
109f5b000                14
106985000                14
10ac87000                14
10ac8c000                14
10ca26000                14
10aec5000                14
10ca25000                14
10aec4000                14
10a7d7000                14
2136b000                 14
21320000                 14
212bb000                 14
2131b000                 14
215a1000                 14
21322000                 14
2136a000                 14
21364000                 14
21369000                 14
21366000                 14
21365000                 14
214b9000                 14
214b2000                 14
21376000                 14
21368000                 14
21380000                 14
21321000                 14
10a96b000                14
10aeb9000                14
10b74a000                14
10aeab000                14
21108000                 14
2110c000                 14
21106000                 14
21107000                 14
215af000                 14
21608000                 14
21155000                 14
21154000                 14
21157000                 14
2114a000                 14
216a0000                 14
21153000                 14
21603000                 14
2160c000                 14
2160d000                 14
21602000                 14
21158000                 14
212b4000                 14
210e9000                 14
212b3000                 14
21a8b000                 14
215a6000                 14
212c2000                 14
2113c000                 14
212bf000                 14
212b5000                 14
21272000                 14
10e527000                14
10e526000                14
1128f9000                14
112856000                14
1128f8000                14
112857000                14
106be1000                14
13963c000                14
106a4a000                14
11290c000                14
11299c000                14
11299d000                14
1128e5000                14
112987000                14
11293b000                14
1128e1000                14
1128ea000                14
11292d000                14
112910000                14
11299e000                14
112949000                14
11292f000                14
1128ed000                14
11297a000                14
112988000                14
112979000                14
112947000                14
1129a2000                14
112930000                14
11297b000                14
112940000                14
112957000                14
112916000                14
1394f1000                14
11296c000                14
11296b000                14
112961000                14
112889000                14
1129d0000                14
1128ec000                14
112931000                14
1129b8000                14
1129b3000                14
1129ef000                14
21373000                 14
106f74000                14
112977000                14
112967000                14
112966000                14
112962000                14
106b59000                14
1128e9000                14
112978000                14
11290d000                14
1128e7000                14
112920000                14
1129a3000                14
112904000                14
112900000                14
1128e2000                14
112937000                14
11291b000                14
11291f000                14
112941000                14
112933000                14
112934000                14
1128e4000                14
10aa12000                14
1129c6000                14
11299f000                14
112917000                14
1129ce000                14
1129c7000                14
21875000                 14
21876000                 14
21919000                 13
211d6000                 13
21116000                 13
2111e000                 13
2135a000                 13
214d1000                 13
21374000                 13
214b4000                 13
2184a000                 13
214ad000                 13
106b98000                13
21852000                 13
2184d000                 13
2131e000                 13
212bc000                 13
21323000                 13
214bc000                 13
213d5000                 13
2110b000                 13
21379000                 13
212a2000                 13
214dd000                 13
213a6000                 13
213a8000                 13
21166000                 13
21850000                 13
2184f000                 13
21356000                 13
21355000                 13
2136c000                 13
213f7000                 13
213f6000                 13
214af000                 13
213f3000                 13
2129d000                 13
2116a000                 13
21169000                 13
212e5000                 13
2133b000                 13
212ca000                 13
212cc000                 13
212cb000                 13
21075000                 13
2116c000                 13
2135c000                 13
21430000                 13
21411000                 13
2142a000                 13
21417000                 13
2144c000                 13
2142b000                 13
21304000                 13
212e1000                 13
2144b000                 13
21520000                 13
21308000                 13
2147b000                 13
21474000                 13
21480000                 13
2142c000                 13
2141c000                 13
2141d000                 13
21291000                 13
21292000                 13
21475000                 13
2147e000                 13
2147a000                 13
21476000                 13
213b0000                 13
10c765000                13
10c64c000                13
10c6fe000                13
10c64d000                13
10c6fc000                13
10c64b000                13
10c652000                13
10c75d000                13
213b2000                 13
10c763000                13
10c6e6000                13
10c75e000                13
10c75f000                13
10c760000                13
10c766000                13
10c64a000                13
10c6e9000                13
10c650000                13
10c6eb000                13
10c764000                13
10c651000                13
10c6d1000                13
10c6cf000                13
10c64e000                13
106418000                13
106fce000                13
106fa0000                13
10c6dd000                13
106fa1000                13
10641a000                13
106419000                13
106fcf000                13
106415000                13
106413000                13
106540000                13
10c6d0000                13
10c64f000                13
10c6ef000                13
106485000                13
106481000                13
107108000                13
106486000                13
10c6d2000                13
10605d000                13
10c737000                13
10c734000                13
10c735000                13
21945000                 12
211d7000                 12
21843000                 12
214b0000                 12
214cc000                 12
21841000                 12
21849000                 12
21846000                 12
214ba000                 12
21847000                 12
214d2000                 12
2137d000                 12
214ac000                 12
21354000                 12
21845000                 12
2184b000                 12
2184c000                 12
21844000                 12
214b5000                 12
210f3000                 12
214aa000                 12
106064000                12
210fe000                 12
2155f000                 12
219a0000                 12
219a2000                 12
21848000                 12
2199e000                 12
21561000                 12
21888000                 12
219a1000                 12
10c6c3000                12
214df000                 12
2199c000                 12
21858000                 12
21562000                 12
219a3000                 12
218cc000                 12
10653c000                12
10c6b4000                12
10c6b3000                12
106b12000                12
107096000                12
106233000                12
106e9d000                12
213f4000                 12
21385000                 12
1395cc000                12
10709f000                12
107097000                12
13957f000                12
2135f000                 12
21386000                 12
2155e000                 12
211aa000                 12
211a6000                 12
21404000                 12
10c6f5000                12
10c6f4000                12
106d53000                12
106e86000                12
10c6e4000                12
21073000                 12
21074000                 12
212d2000                 12
212ce000                 12
10c6f7000                12
10c6f6000                12
106acc000                12
21294000                 12
21473000                 12
21418000                 12
21415000                 12
21412000                 12
2141b000                 12
21410000                 12
21470000                 12
2146f000                 12
2142e000                 12
2140e000                 12
21460000                 12
2128f000                 12
107098000                12
21172000                 12
